Date,RCL
2004-08-05,40.9900016784668
2004-08-06,40.029998779296875
2004-08-09,39.59000015258789
2004-08-10,40.4900016784668
2004-08-11,40.099998474121094
2004-08-12,39.41999816894531
2004-08-13,39.70000076293945
2004-08-16,40.619998931884766
2004-08-17,40.93000030517578
2004-08-18,40.52000045776367
2004-08-19,40.099998474121094
2004-08-20,39.29999923706055
2004-08-23,39.56999969482422
2004-08-24,39.88999938964844
2004-08-25,40.709999084472656
2004-08-26,40.91999816894531
2004-08-27,40.650001525878906
2004-08-30,40.779998779296875
2004-08-31,41.29999923706055
2004-09-01,41.540000915527344
2004-09-02,41.970001220703125
2004-09-03,41.93000030517578
2004-09-07,42.099998474121094
2004-09-08,42.22999954223633
2004-09-09,41.939998626708984
2004-09-10,42.150001525878906
2004-09-13,42.400001525878906
2004-09-14,42.47999954223633
2004-09-15,43.59000015258789
2004-09-16,44.16999816894531
2004-09-17,44.58000183105469
2004-09-20,43.66999816894531
2004-09-21,43.9900016784668
2004-09-22,43.68000030517578
2004-09-23,43.9900016784668
2004-09-24,44.29999923706055
2004-09-27,43.4900016784668
2004-09-28,43.880001068115234
2004-09-29,43.650001525878906
2004-09-30,43.599998474121094
2004-10-01,44.34000015258789
2004-10-04,45.75
2004-10-05,46.45000076293945
2004-10-06,47.11000061035156
2004-10-07,46.689998626708984
2004-10-08,46.7400016784668
2004-10-11,47.08000183105469
2004-10-12,46.650001525878906
2004-10-13,46.560001373291016
2004-10-14,46.77000045776367
2004-10-15,48.31999969482422
2004-10-18,48.540000915527344
2004-10-19,48.150001525878906
2004-10-20,48.25
2004-10-21,46.83000183105469
2004-10-22,46.810001373291016
2004-10-25,46.95000076293945
2004-10-26,46.54999923706055
2004-10-27,46.5
2004-10-28,46.279998779296875
2004-10-29,46.599998474121094
2004-11-01,46.75
2004-11-02,47.5
2004-11-03,47.9900016784668
2004-11-04,48.70000076293945
2004-11-05,48.45000076293945
2004-11-08,48.45000076293945
2004-11-09,48.279998779296875
2004-11-10,48.52000045776367
2004-11-11,49.0
2004-11-12,49.5
2004-11-15,48.90999984741211
2004-11-16,48.43000030517578
2004-11-17,48.16999816894531
2004-11-18,48.400001525878906
2004-11-19,48.099998474121094
2004-11-22,47.75
2004-11-23,48.33000183105469
2004-11-24,49.29999923706055
2004-11-26,49.52000045776367
2004-11-29,49.369998931884766
2004-11-30,49.70000076293945
2004-12-01,50.0
2004-12-02,50.34000015258789
2004-12-03,50.70000076293945
2004-12-06,51.2599983215332
2004-12-07,50.59000015258789
2004-12-08,50.4900016784668
2004-12-09,50.4900016784668
2004-12-10,50.5
2004-12-13,50.599998474121094
2004-12-14,51.779998779296875
2004-12-15,51.68000030517578
2004-12-16,51.90999984741211
2004-12-17,52.529998779296875
2004-12-20,52.83000183105469
2004-12-21,53.650001525878906
2004-12-22,53.95000076293945
2004-12-23,53.900001525878906
2004-12-27,54.29999923706055
2004-12-28,55.41999816894531
2004-12-29,55.25
2004-12-30,55.0099983215332
2004-12-31,54.439998626708984
2005-01-03,54.150001525878906
2005-01-04,53.61000061035156
2005-01-05,52.849998474121094
2005-01-06,53.25
2005-01-07,53.060001373291016
2005-01-10,52.849998474121094
2005-01-11,52.349998474121094
2005-01-12,53.02000045776367
2005-01-13,53.02000045776367
2005-01-14,53.86000061035156
2005-01-18,54.849998474121094
2005-01-19,54.619998931884766
2005-01-20,53.47999954223633
2005-01-21,52.869998931884766
2005-01-24,52.36000061035156
2005-01-25,52.54999923706055
2005-01-26,52.75
2005-01-27,52.88999938964844
2005-01-28,52.400001525878906
2005-01-31,53.0
2005-02-01,49.349998474121094
2005-02-02,49.02000045776367
2005-02-03,47.79999923706055
2005-02-04,48.27000045776367
2005-02-07,48.5
2005-02-08,47.97999954223633
2005-02-09,47.59000015258789
2005-02-10,47.91999816894531
2005-02-11,48.7599983215332
2005-02-14,49.150001525878906
2005-02-15,48.75
2005-02-16,48.279998779296875
2005-02-17,47.79999923706055
2005-02-18,47.95000076293945
2005-02-22,46.70000076293945
2005-02-23,45.81999969482422
2005-02-24,46.77000045776367
2005-02-25,47.790000915527344
2005-02-28,47.25
2005-03-01,47.0
2005-03-02,47.150001525878906
2005-03-03,46.95000076293945
2005-03-04,46.56999969482422
2005-03-07,46.58000183105469
2005-03-08,46.29999923706055
2005-03-09,45.93000030517578
2005-03-10,45.52000045776367
2005-03-11,45.650001525878906
2005-03-14,45.349998474121094
2005-03-15,47.16999816894531
2005-03-16,47.5099983215332
2005-03-17,47.869998931884766
2005-03-18,48.099998474121094
2005-03-21,45.77000045776367
2005-03-22,44.36000061035156
2005-03-23,43.79999923706055
2005-03-24,43.16999816894531
2005-03-28,43.40999984741211
2005-03-29,43.5099983215332
2005-03-30,44.130001068115234
2005-03-31,44.689998626708984
2005-04-01,44.27000045776367
2005-04-04,43.4900016784668
2005-04-05,44.0
2005-04-06,44.560001373291016
2005-04-07,44.709999084472656
2005-04-08,44.25
2005-04-11,44.209999084472656
2005-04-12,44.310001373291016
2005-04-13,43.849998474121094
2005-04-14,43.36000061035156
2005-04-15,42.599998474121094
2005-04-18,41.970001220703125
2005-04-19,42.0
2005-04-20,42.04999923706055
2005-04-21,43.209999084472656
2005-04-22,42.61000061035156
2005-04-25,42.5
2005-04-26,41.849998474121094
2005-04-27,41.29999923706055
2005-04-28,41.150001525878906
2005-04-29,42.02000045776367
2005-05-02,42.08000183105469
2005-05-03,42.15999984741211
2005-05-04,43.029998779296875
2005-05-05,42.90999984741211
2005-05-06,42.58000183105469
2005-05-09,42.7599983215332
2005-05-10,42.33000183105469
2005-05-11,42.4900016784668
2005-05-12,42.70000076293945
2005-05-13,42.880001068115234
2005-05-16,43.95000076293945
2005-05-17,44.689998626708984
2005-05-18,45.279998779296875
2005-05-19,45.25
2005-05-20,45.06999969482422
2005-05-23,45.439998626708984
2005-05-24,45.380001068115234
2005-05-25,44.900001525878906
2005-05-26,44.810001373291016
2005-05-27,44.86000061035156
2005-05-31,46.11000061035156
2005-06-01,46.15999984741211
2005-06-02,46.279998779296875
2005-06-03,46.439998626708984
2005-06-06,46.52000045776367
2005-06-07,46.400001525878906
2005-06-08,45.90999984741211
2005-06-09,45.93000030517578
2005-06-10,45.439998626708984
2005-06-13,45.599998474121094
2005-06-14,45.97999954223633
2005-06-15,46.40999984741211
2005-06-16,47.7400016784668
2005-06-17,47.68000030517578
2005-06-20,47.27000045776367
2005-06-21,47.40999984741211
2005-06-22,47.59000015258789
2005-06-23,47.68000030517578
2005-06-24,47.20000076293945
2005-06-27,47.18000030517578
2005-06-28,47.849998474121094
2005-06-29,48.720001220703125
2005-06-30,48.36000061035156
2005-07-01,48.720001220703125
2005-07-05,48.939998626708984
2005-07-06,48.150001525878906
2005-07-07,47.95000076293945
2005-07-08,48.97999954223633
2005-07-11,49.189998626708984
2005-07-12,48.77000045776367
2005-07-13,48.58000183105469
2005-07-14,48.22999954223633
2005-07-15,48.369998931884766
2005-07-18,48.720001220703125
2005-07-19,49.040000915527344
2005-07-20,49.08000183105469
2005-07-21,48.779998779296875
2005-07-22,48.40999984741211
2005-07-25,48.16999816894531
2005-07-26,47.5
2005-07-27,45.5
2005-07-28,45.400001525878906
2005-07-29,45.45000076293945
2005-08-01,45.08000183105469
2005-08-02,45.04999923706055
2005-08-03,45.20000076293945
2005-08-04,45.7400016784668
2005-08-05,45.72999954223633
2005-08-08,45.630001068115234
2005-08-09,46.18000030517578
2005-08-10,45.36000061035156
2005-08-11,45.25
2005-08-12,44.90999984741211
2005-08-15,44.779998779296875
2005-08-16,44.029998779296875
2005-08-17,43.970001220703125
2005-08-18,44.400001525878906
2005-08-19,44.61000061035156
2005-08-22,44.84000015258789
2005-08-23,45.029998779296875
2005-08-24,44.47999954223633
2005-08-25,44.02000045776367
2005-08-26,43.689998626708984
2005-08-29,43.959999084472656
2005-08-30,43.40999984741211
2005-08-31,42.720001220703125
2005-09-01,41.91999816894531
2005-09-02,41.90999984741211
2005-09-06,42.29999923706055
2005-09-07,42.45000076293945
2005-09-08,42.06999969482422
2005-09-09,41.880001068115234
2005-09-12,43.31999969482422
2005-09-13,42.849998474121094
2005-09-14,42.7599983215332
2005-09-15,42.5
2005-09-16,42.650001525878906
2005-09-19,43.25
2005-09-20,43.18000030517578
2005-09-21,42.150001525878906
2005-09-22,42.220001220703125
2005-09-23,42.7599983215332
2005-09-26,44.27000045776367
2005-09-27,43.4900016784668
2005-09-28,42.81999969482422
2005-09-29,42.400001525878906
2005-09-30,43.20000076293945
2005-10-03,43.310001373291016
2005-10-04,43.47999954223633
2005-10-05,42.88999938964844
2005-10-06,41.91999816894531
2005-10-07,41.79999923706055
2005-10-10,41.060001373291016
2005-10-11,40.77000045776367
2005-10-12,40.31999969482422
2005-10-13,40.560001373291016
2005-10-14,40.97999954223633
2005-10-17,40.25
2005-10-18,39.36000061035156
2005-10-19,40.029998779296875
2005-10-20,39.81999969482422
2005-10-21,39.630001068115234
2005-10-24,40.790000915527344
2005-10-25,40.97999954223633
2005-10-26,41.2599983215332
2005-10-27,40.630001068115234
2005-10-28,40.95000076293945
2005-10-31,41.439998626708984
2005-11-01,41.220001220703125
2005-11-02,41.790000915527344
2005-11-03,42.5
2005-11-04,43.02000045776367
2005-11-07,43.150001525878906
2005-11-08,42.650001525878906
2005-11-09,43.18000030517578
2005-11-10,44.0
2005-11-11,44.77000045776367
2005-11-14,43.7400016784668
2005-11-15,43.709999084472656
2005-11-16,43.709999084472656
2005-11-17,44.75
2005-11-18,45.310001373291016
2005-11-21,45.08000183105469
2005-11-22,44.9900016784668
2005-11-23,46.16999816894531
2005-11-25,45.75
2005-11-28,45.810001373291016
2005-11-29,46.0099983215332
2005-11-30,45.86000061035156
2005-12-01,46.959999084472656
2005-12-02,47.060001373291016
2005-12-05,46.72999954223633
2005-12-06,46.59000015258789
2005-12-07,46.41999816894531
2005-12-08,46.56999969482422
2005-12-09,47.02000045776367
2005-12-12,46.91999816894531
2005-12-13,47.13999938964844
2005-12-14,47.0099983215332
2005-12-15,46.27000045776367
2005-12-16,44.11000061035156
2005-12-19,44.099998474121094
2005-12-20,44.36000061035156
2005-12-21,44.65999984741211
2005-12-22,45.209999084472656
2005-12-23,44.970001220703125
2005-12-27,44.40999984741211
2005-12-28,44.939998626708984
2005-12-29,45.130001068115234
2005-12-30,45.060001373291016
2006-01-03,44.959999084472656
2006-01-04,44.79999923706055
2006-01-05,44.720001220703125
2006-01-06,45.099998474121094
2006-01-09,45.4900016784668
2006-01-10,45.209999084472656
2006-01-11,44.849998474121094
2006-01-12,45.310001373291016
2006-01-13,45.75
2006-01-17,44.459999084472656
2006-01-18,42.77000045776367
2006-01-19,42.900001525878906
2006-01-20,41.86000061035156
2006-01-23,41.84000015258789
2006-01-24,41.900001525878906
2006-01-25,42.310001373291016
2006-01-26,41.970001220703125
2006-01-27,41.29999923706055
2006-01-30,41.27000045776367
2006-01-31,40.900001525878906
2006-02-01,41.560001373291016
2006-02-02,43.97999954223633
2006-02-03,44.29999923706055
2006-02-06,44.38999938964844
2006-02-07,43.4900016784668
2006-02-08,43.599998474121094
2006-02-09,44.09000015258789
2006-02-10,44.34000015258789
2006-02-13,44.630001068115234
2006-02-14,45.65999984741211
2006-02-15,46.349998474121094
2006-02-16,46.61000061035156
2006-02-17,45.900001525878906
2006-02-21,45.0
2006-02-22,45.0
2006-02-23,44.869998931884766
2006-02-24,44.5
2006-02-27,44.40999984741211
2006-02-28,44.060001373291016
2006-03-01,44.75
2006-03-02,44.54999923706055
2006-03-03,44.689998626708984
2006-03-06,43.72999954223633
2006-03-07,43.58000183105469
2006-03-08,43.20000076293945
2006-03-09,42.7599983215332
2006-03-10,43.09000015258789
2006-03-13,43.77000045776367
2006-03-14,43.720001220703125
2006-03-15,43.529998779296875
2006-03-16,42.279998779296875
2006-03-17,42.45000076293945
2006-03-20,42.02000045776367
2006-03-21,41.9900016784668
2006-03-22,42.7400016784668
2006-03-23,41.099998474121094
2006-03-24,41.779998779296875
2006-03-27,42.119998931884766
2006-03-28,42.0099983215332
2006-03-29,42.27000045776367
2006-03-30,42.5
2006-03-31,42.02000045776367
2006-04-03,42.66999816894531
2006-04-04,42.36000061035156
2006-04-05,42.040000915527344
2006-04-06,42.15999984741211
2006-04-07,42.040000915527344
2006-04-10,42.029998779296875
2006-04-11,41.810001373291016
2006-04-12,41.84000015258789
2006-04-13,42.13999938964844
2006-04-17,41.88999938964844
2006-04-18,41.66999816894531
2006-04-19,41.2400016784668
2006-04-20,41.54999923706055
2006-04-21,42.77000045776367
2006-04-24,42.45000076293945
2006-04-25,42.0
2006-04-26,42.150001525878906
2006-04-27,42.029998779296875
2006-04-28,41.790000915527344
2006-05-01,41.33000183105469
2006-05-02,41.88999938964844
2006-05-03,42.040000915527344
2006-05-04,42.65999984741211
2006-05-05,42.869998931884766
2006-05-08,43.0099983215332
2006-05-09,42.470001220703125
2006-05-10,42.15999984741211
2006-05-11,41.63999938964844
2006-05-12,40.849998474121094
2006-05-15,40.20000076293945
2006-05-16,37.540000915527344
2006-05-17,36.869998931884766
2006-05-18,36.97999954223633
2006-05-19,37.13999938964844
2006-05-22,36.43000030517578
2006-05-23,36.0
2006-05-24,35.63999938964844
2006-05-25,35.93000030517578
2006-05-26,35.290000915527344
2006-05-30,35.689998626708984
2006-05-31,38.08000183105469
2006-06-01,37.97999954223633
2006-06-02,38.97999954223633
2006-06-05,38.75
2006-06-06,37.31999969482422
2006-06-07,37.43000030517578
2006-06-08,36.18000030517578
2006-06-09,36.7599983215332
2006-06-12,36.369998931884766
2006-06-13,35.66999816894531
2006-06-14,35.41999816894531
2006-06-15,37.5099983215332
2006-06-16,37.650001525878906
2006-06-19,37.54999923706055
2006-06-20,37.5
2006-06-21,38.369998931884766
2006-06-22,37.790000915527344
2006-06-23,37.79999923706055
2006-06-26,38.08000183105469
2006-06-27,37.7400016784668
2006-06-28,37.599998474121094
2006-06-29,38.59000015258789
2006-06-30,38.25
2006-07-03,38.4900016784668
2006-07-05,38.0099983215332
2006-07-06,38.0
2006-07-07,37.900001525878906
2006-07-10,37.34000015258789
2006-07-11,37.09000015258789
2006-07-12,36.2599983215332
2006-07-13,35.630001068115234
2006-07-14,35.790000915527344
2006-07-17,35.220001220703125
2006-07-18,34.459999084472656
2006-07-19,35.79999923706055
2006-07-20,34.63999938964844
2006-07-21,34.400001525878906
2006-07-24,34.95000076293945
2006-07-25,36.099998474121094
2006-07-26,36.04999923706055
2006-07-27,34.7599983215332
2006-07-28,34.56999969482422
2006-07-31,33.900001525878906
2006-08-01,33.619998931884766
2006-08-02,34.70000076293945
