Date,XLU
2002-03-27,27.93000030517578
2002-03-28,28.18000030517578
2002-04-01,27.889999389648438
2002-04-02,28.049999237060547
2002-04-03,28.049999237060547
2002-04-04,28.09000015258789
2002-04-05,27.940000534057617
2002-04-08,27.739999771118164
2002-04-09,27.149999618530273
2002-04-10,27.719999313354492
2002-04-11,26.889999389648438
2002-04-12,27.06999969482422
2002-04-15,26.649999618530273
2002-04-16,27.299999237060547
2002-04-17,27.440000534057617
2002-04-18,27.3700008392334
2002-04-19,27.1299991607666
2002-04-22,26.719999313354492
2002-04-23,26.850000381469727
2002-04-24,26.920000076293945
2002-04-25,26.739999771118164
2002-04-26,26.309999465942383
2002-04-29,25.920000076293945
2002-04-30,26.469999313354492
2002-05-01,26.719999313354492
2002-05-02,26.549999237060547
2002-05-03,26.399999618530273
2002-05-06,26.260000228881836
2002-05-07,26.0
2002-05-08,26.3700008392334
2002-05-09,26.149999618530273
2002-05-10,25.549999237060547
2002-05-13,25.860000610351562
2002-05-14,26.25
2002-05-15,26.110000610351562
2002-05-16,26.209999084472656
2002-05-17,25.959999084472656
2002-05-20,26.100000381469727
2002-05-21,26.290000915527344
2002-05-22,26.760000228881836
2002-05-23,27.239999771118164
2002-05-24,26.959999084472656
2002-05-28,27.149999618530273
2002-05-29,26.700000762939453
2002-05-30,26.450000762939453
2002-05-31,26.25
2002-06-03,25.649999618530273
2002-06-04,25.739999771118164
2002-06-05,25.639999389648438
2002-06-06,24.889999389648438
2002-06-07,25.18000030517578
2002-06-10,25.270000457763672
2002-06-11,24.850000381469727
2002-06-12,25.360000610351562
2002-06-13,25.329999923706055
2002-06-14,25.010000228881836
2002-06-17,25.56999969482422
2002-06-18,25.760000228881836
2002-06-19,25.049999237060547
2002-06-20,24.75
2002-06-21,24.600000381469727
2002-06-24,24.190000534057617
2002-06-25,24.030000686645508
2002-06-26,23.780000686645508
2002-06-27,23.760000228881836
2002-06-28,24.25
2002-07-01,23.75
2002-07-02,23.25
2002-07-03,23.110000610351562
2002-07-05,23.3799991607666
2002-07-08,23.079999923706055
2002-07-09,22.469999313354492
2002-07-10,21.200000762939453
2002-07-11,21.940000534057617
2002-07-12,21.1200008392334
2002-07-15,21.450000762939453
2002-07-16,20.81999969482422
2002-07-17,20.43000030517578
2002-07-18,19.950000762939453
2002-07-19,18.829999923706055
2002-07-22,18.3700008392334
2002-07-23,16.940000534057617
