Date,ELY
1994-12-28,17.125
1994-12-29,17.0
1994-12-30,16.5625
1995-01-03,16.75
1995-01-04,16.5625
1995-01-05,16.625
1995-01-06,16.75
1995-01-09,16.75
1995-01-10,16.6875
1995-01-11,16.5
1995-01-12,16.0
1995-01-13,16.4375
1995-01-16,16.625
1995-01-17,16.875
1995-01-18,16.4375
1995-01-19,16.3125
1995-01-20,15.75
1995-01-23,15.3125
1995-01-24,15.8125
1995-01-25,14.9375
1995-01-26,16.0
1995-01-27,16.375
1995-01-30,16.25
1995-01-31,16.125
1995-02-01,16.1875
1995-02-02,16.4375
1995-02-03,16.5625
1995-02-06,16.6875
1995-02-07,17.375
1995-02-08,17.875
1995-02-09,17.75
1995-02-10,17.75
1995-02-13,17.5
1995-02-14,17.5625
1995-02-15,17.5625
1995-02-16,17.5
1995-02-17,17.5
1995-02-21,17.25
1995-02-22,17.1875
1995-02-23,17.3125
1995-02-24,17.375
1995-02-27,16.9375
1995-02-28,16.875
1995-03-01,16.75
1995-03-02,16.9375
1995-03-03,16.9375
1995-03-06,16.5
1995-03-07,16.375
1995-03-08,16.625
1995-03-09,16.5625
1995-03-10,16.0
1995-03-13,16.125
1995-03-14,16.0
1995-03-15,16.0
1995-03-16,16.0
1995-03-17,16.0
1995-03-20,16.0
1995-03-21,15.875
1995-03-22,15.875
1995-03-23,15.875
1995-03-24,15.5
1995-03-27,14.0
1995-03-28,14.25
1995-03-29,14.0
1995-03-30,14.0
1995-03-31,14.0
1995-04-03,13.75
1995-04-04,13.25
1995-04-05,14.25
1995-04-06,14.875
1995-04-07,14.875
1995-04-10,14.75
1995-04-11,14.875
1995-04-12,13.625
1995-04-13,14.0
1995-04-17,13.625
1995-04-18,14.125
1995-04-19,14.0
1995-04-20,12.75
1995-04-21,12.75
1995-04-24,13.0
1995-04-25,12.75
1995-04-26,12.625
1995-04-27,12.625
1995-04-28,12.375
1995-05-01,11.875
1995-05-02,12.375
1995-05-03,12.0
1995-05-04,12.125
1995-05-05,12.125
1995-05-08,12.0
1995-05-09,11.75
1995-05-10,11.75
